merged_image_id,merged_file_path,merged_label_path,split,original_zip,original_split,species_inferred_from_zip,image_id,file_path,common_name,order,family,species,wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,image_quality,annotator,visibility_notes,notes
aedes_albopictus_img_000291,train/images/aedes_albopictus_img_000291.jpg,train/labels/aedes_albopictus_img_000291.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000291,Dataset/Aedes albopictus (Skuse)/img_000291.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000328,train/images/aedes_albopictus_img_000328.jpg,train/labels/aedes_albopictus_img_000328.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000328,Dataset/Aedes albopictus (Skuse)/img_000328.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000296,train/images/aedes_albopictus_img_000296.jpg,train/labels/aedes_albopictus_img_000296.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000296,Dataset/Aedes albopictus (Skuse)/img_000296.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000305,train/images/aedes_albopictus_img_000305.jpg,train/labels/aedes_albopictus_img_000305.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000305,Dataset/Aedes albopictus (Skuse)/img_000305.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000324,train/images/aedes_albopictus_img_000324.jpg,train/labels/aedes_albopictus_img_000324.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000324,Dataset/Aedes albopictus (Skuse)/img_000324.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000323,train/images/aedes_albopictus_img_000323.jpg,train/labels/aedes_albopictus_img_000323.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,test,Aedes albopictus,img_000323,Dataset/Aedes albopictus (Skuse)/img_000323.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000283,train/images/aedes_albopictus_img_000283.jpg,train/labels/aedes_albopictus_img_000283.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000283,Dataset/Aedes albopictus (Skuse)/img_000283.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000309,train/images/aedes_albopictus_img_000309.jpg,train/labels/aedes_albopictus_img_000309.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000309,Dataset/Aedes albopictus (Skuse)/img_000309.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000316,train/images/aedes_albopictus_img_000316.jpg,train/labels/aedes_albopictus_img_000316.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000316,Dataset/Aedes albopictus (Skuse)/img_000316.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000284,train/images/aedes_albopictus_img_000284.jpg,train/labels/aedes_albopictus_img_000284.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000284,Dataset/Aedes albopictus (Skuse)/img_000284.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000322,train/images/aedes_albopictus_img_000322.jpg,train/labels/aedes_albopictus_img_000322.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000322,Dataset/Aedes albopictus (Skuse)/img_000322.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000294,train/images/aedes_albopictus_img_000294.jpg,train/labels/aedes_albopictus_img_000294.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000294,Dataset/Aedes albopictus (Skuse)/img_000294.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000298,train/images/aedes_albopictus_img_000298.jpg,train/labels/aedes_albopictus_img_000298.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000298,Dataset/Aedes albopictus (Skuse)/img_000298.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000311,train/images/aedes_albopictus_img_000311.jpg,train/labels/aedes_albopictus_img_000311.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000311,Dataset/Aedes albopictus (Skuse)/img_000311.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000333,train/images/aedes_albopictus_img_000333.jpg,train/labels/aedes_albopictus_img_000333.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000333,Dataset/Aedes albopictus (Skuse)/img_000333.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000313,train/images/aedes_albopictus_img_000313.jpg,train/labels/aedes_albopictus_img_000313.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000313,Dataset/Aedes albopictus (Skuse)/img_000313.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000001,train/images/aedes_albopictus_img_000001.jpg,train/labels/aedes_albopictus_img_000001.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000001,Dataset/Aedes albopictus (Skuse)/img_000001.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,high,bruno,no se veía bien la boca ,
aedes_albopictus_img_000314,train/images/aedes_albopictus_img_000314.jpg,train/labels/aedes_albopictus_img_000314.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000314,Dataset/Aedes albopictus (Skuse)/img_000314.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000288,train/images/aedes_albopictus_img_000288.jpg,train/labels/aedes_albopictus_img_000288.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,test,Aedes albopictus,img_000288,Dataset/Aedes albopictus (Skuse)/img_000288.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000306,train/images/aedes_albopictus_img_000306.jpg,train/labels/aedes_albopictus_img_000306.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000306,Dataset/Aedes albopictus (Skuse)/img_000306.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000326,train/images/aedes_albopictus_img_000326.jpg,train/labels/aedes_albopictus_img_000326.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000326,Dataset/Aedes albopictus (Skuse)/img_000326.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000331,train/images/aedes_albopictus_img_000331.jpg,train/labels/aedes_albopictus_img_000331.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000331,Dataset/Aedes albopictus (Skuse)/img_000331.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000319,train/images/aedes_albopictus_img_000319.jpg,train/labels/aedes_albopictus_img_000319.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000319,Dataset/Aedes albopictus (Skuse)/img_000319.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000297,train/images/aedes_albopictus_img_000297.jpg,train/labels/aedes_albopictus_img_000297.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000297,Dataset/Aedes albopictus (Skuse)/img_000297.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000287,train/images/aedes_albopictus_img_000287.jpg,train/labels/aedes_albopictus_img_000287.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000287,Dataset/Aedes albopictus (Skuse)/img_000287.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000327,train/images/aedes_albopictus_img_000327.jpg,train/labels/aedes_albopictus_img_000327.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000327,Dataset/Aedes albopictus (Skuse)/img_000327.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000318,train/images/aedes_albopictus_img_000318.jpg,train/labels/aedes_albopictus_img_000318.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000318,Dataset/Aedes albopictus (Skuse)/img_000318.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000299,train/images/aedes_albopictus_img_000299.jpg,train/labels/aedes_albopictus_img_000299.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000299,Dataset/Aedes albopictus (Skuse)/img_000299.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000315,valid/images/aedes_albopictus_img_000315.jpg,valid/labels/aedes_albopictus_img_000315.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000315,Dataset/Aedes albopictus (Skuse)/img_000315.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000292,valid/images/aedes_albopictus_img_000292.jpg,valid/labels/aedes_albopictus_img_000292.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,test,Aedes albopictus,img_000292,Dataset/Aedes albopictus (Skuse)/img_000292.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000281,valid/images/aedes_albopictus_img_000281.jpg,valid/labels/aedes_albopictus_img_000281.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000281,Dataset/Aedes albopictus (Skuse)/img_000281.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000321,valid/images/aedes_albopictus_img_000321.jpg,valid/labels/aedes_albopictus_img_000321.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000321,Dataset/Aedes albopictus (Skuse)/img_000321.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000332,valid/images/aedes_albopictus_img_000332.jpg,valid/labels/aedes_albopictus_img_000332.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000332,Dataset/Aedes albopictus (Skuse)/img_000332.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000285,valid/images/aedes_albopictus_img_000285.jpg,valid/labels/aedes_albopictus_img_000285.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000285,Dataset/Aedes albopictus (Skuse)/img_000285.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000329,valid/images/aedes_albopictus_img_000329.jpg,valid/labels/aedes_albopictus_img_000329.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000329,Dataset/Aedes albopictus (Skuse)/img_000329.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000301,valid/images/aedes_albopictus_img_000301.jpg,valid/labels/aedes_albopictus_img_000301.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000301,Dataset/Aedes albopictus (Skuse)/img_000301.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000286,valid/images/aedes_albopictus_img_000286.jpg,valid/labels/aedes_albopictus_img_000286.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000286,Dataset/Aedes albopictus (Skuse)/img_000286.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000290,valid/images/aedes_albopictus_img_000290.jpg,valid/labels/aedes_albopictus_img_000290.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000290,Dataset/Aedes albopictus (Skuse)/img_000290.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000300,valid/images/aedes_albopictus_img_000300.jpg,valid/labels/aedes_albopictus_img_000300.txt,valid,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000300,Dataset/Aedes albopictus (Skuse)/img_000300.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000302,test/images/aedes_albopictus_img_000302.jpg,test/labels/aedes_albopictus_img_000302.txt,test,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000302,Dataset/Aedes albopictus (Skuse)/img_000302.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000304,test/images/aedes_albopictus_img_000304.jpg,test/labels/aedes_albopictus_img_000304.txt,test,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000304,Dataset/Aedes albopictus (Skuse)/img_000304.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000317,test/images/aedes_albopictus_img_000317.jpg,test/labels/aedes_albopictus_img_000317.txt,test,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000317,Dataset/Aedes albopictus (Skuse)/img_000317.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000280,test/images/aedes_albopictus_img_000280.jpg,test/labels/aedes_albopictus_img_000280.txt,test,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000280,Dataset/Aedes albopictus (Skuse)/img_000280.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000289,test/images/aedes_albopictus_img_000289.jpg,test/labels/aedes_albopictus_img_000289.txt,test,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000289,Dataset/Aedes albopictus (Skuse)/img_000289.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000293,test/images/aedes_albopictus_img_000293.jpg,test/labels/aedes_albopictus_img_000293.txt,test,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000293,Dataset/Aedes albopictus (Skuse)/img_000293.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
apis_mellifera_img_000132,train/images/apis_mellifera_img_000132.jpg,train/labels/apis_mellifera_img_000132.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000132,Dataset/Apis mellifera Linnaeus/img_000132.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000110,train/images/apis_mellifera_img_000110.jpg,train/labels/apis_mellifera_img_000110.txt,train,apis-mellifera-linnaeus.yolov8.zip,test,Apis mellifera,img_000110,Dataset/Apis mellifera Linnaeus/img_000110.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000153,train/images/apis_mellifera_img_000153.jpg,train/labels/apis_mellifera_img_000153.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000153,Dataset/Apis mellifera Linnaeus/img_000153.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000134,train/images/apis_mellifera_img_000134.jpg,train/labels/apis_mellifera_img_000134.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000134,Dataset/Apis mellifera Linnaeus/img_000134.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000112,train/images/apis_mellifera_img_000112.jpg,train/labels/apis_mellifera_img_000112.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000112,Dataset/Apis mellifera Linnaeus/img_000112.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000125,train/images/apis_mellifera_img_000125.jpg,train/labels/apis_mellifera_img_000125.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000125,Dataset/Apis mellifera Linnaeus/img_000125.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000147,train/images/apis_mellifera_img_000147.jpg,train/labels/apis_mellifera_img_000147.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000147,Dataset/Apis mellifera Linnaeus/img_000147.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000162,train/images/apis_mellifera_img_000162.jpg,train/labels/apis_mellifera_img_000162.txt,train,apis-mellifera-linnaeus.yolov8.zip,test,Apis mellifera,img_000162,Dataset/Apis mellifera Linnaeus/img_000162.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000149,train/images/apis_mellifera_img_000149.jpg,train/labels/apis_mellifera_img_000149.txt,train,apis-mellifera-linnaeus.yolov8.zip,test,Apis mellifera,img_000149,Dataset/Apis mellifera Linnaeus/img_000149.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000127,train/images/apis_mellifera_img_000127.jpg,train/labels/apis_mellifera_img_000127.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000127,Dataset/Apis mellifera Linnaeus/img_000127.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000114,train/images/apis_mellifera_img_000114.jpg,train/labels/apis_mellifera_img_000114.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000114,Dataset/Apis mellifera Linnaeus/img_000114.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000111,train/images/apis_mellifera_img_000111.jpg,train/labels/apis_mellifera_img_000111.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000111,Dataset/Apis mellifera Linnaeus/img_000111.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
apis_mellifera_img_000146,train/images/apis_mellifera_img_000146.jpg,train/labels/apis_mellifera_img_000146.txt,train,apis-mellifera-linnaeus.yolov8.zip,train,Apis mellifera,img_000146,Dataset/Apis mellifera Linnaeus/img_000146.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,,
