image_id,"file_path
",common_name,order,family,species,wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,image_quality,annotator,visibility_notes
img_000067,Dataset/Danaus plexippus (Linnaeus)/img_000067.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000068,Dataset/Danaus plexippus (Linnaeus)/img_000068.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000069,Dataset/Danaus plexippus (Linnaeus)/img_000069.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000070,Dataset/Danaus plexippus (Linnaeus)/img_000070.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,hay varios en una sola imagen
img_000071,Dataset/Danaus plexippus (Linnaeus)/img_000071.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,medium,Bruno,completo
img_000072,Dataset/Danaus plexippus (Linnaeus)/img_000072.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000073,Dataset/Danaus plexippus (Linnaeus)/img_000073.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000074,Dataset/Danaus plexippus (Linnaeus)/img_000074.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000075,Dataset/Danaus plexippus (Linnaeus)/img_000075.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000076,Dataset/Danaus plexippus (Linnaeus)/img_000076.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000077,Dataset/Danaus plexippus (Linnaeus)/img_000077.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000078,Dataset/Danaus plexippus (Linnaeus)/img_000078.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000079,Dataset/Danaus plexippus (Linnaeus)/img_000079.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000080,Dataset/Danaus plexippus (Linnaeus)/img_000080.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000081,Dataset/Danaus plexippus (Linnaeus)/img_000081.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000082,Dataset/Danaus plexippus (Linnaeus)/img_000082.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000083,Dataset/Danaus plexippus (Linnaeus)/img_000083.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000084,Dataset/Danaus plexippus (Linnaeus)/img_000084.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,medium,Bruno,completo
img_000085,Dataset/Danaus plexippus (Linnaeus)/img_000085.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000086,Dataset/Danaus plexippus (Linnaeus)/img_000086.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000087,Dataset/Danaus plexippus (Linnaeus)/img_000087.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000088,Dataset/Danaus plexippus (Linnaeus)/img_000088.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000089,Dataset/Danaus plexippus (Linnaeus)/img_000089.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000090,Dataset/Danaus plexippus (Linnaeus)/img_000090.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000091,Dataset/Danaus plexippus (Linnaeus)/img_000091.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,esta saliendo de su criselida
img_000092,Dataset/Danaus plexippus (Linnaeus)/img_000092.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000093,Dataset/Danaus plexippus (Linnaeus)/img_000093.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000094,Dataset/Danaus plexippus (Linnaeus)/img_000094.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000095,Dataset/Danaus plexippus (Linnaeus)/img_000095.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000096,Dataset/Danaus plexippus (Linnaeus)/img_000096.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000097,Dataset/Danaus plexippus (Linnaeus)/img_000097.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000098,Dataset/Danaus plexippus (Linnaeus)/img_000098.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,medium,Bruno,completo
img_000099,Dataset/Danaus plexippus (Linnaeus)/img_000099.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,medium,Bruno,completo
img_000100,Dataset/Danaus plexippus (Linnaeus)/img_000100.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000101,Dataset/Danaus plexippus (Linnaeus)/img_000101.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000102,Dataset/Danaus plexippus (Linnaeus)/img_000102.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000103,Dataset/Danaus plexippus (Linnaeus)/img_000103.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000104,Dataset/Danaus plexippus (Linnaeus)/img_000104.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000105,Dataset/Danaus plexippus (Linnaeus)/img_000105.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000106,Dataset/Danaus plexippus (Linnaeus)/img_000106.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000107,Dataset/Danaus plexippus (Linnaeus)/img_000107.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000108,Dataset/Danaus plexippus (Linnaeus)/img_000108.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000109,Dataset/Danaus plexippus (Linnaeus)/img_000109.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000110,Dataset/Apis mellifera Linnaeus/img_000110.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000111,Dataset/Apis mellifera Linnaeus/img_000111.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000112,Dataset/Apis mellifera Linnaeus/img_000112.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000113,Dataset/Apis mellifera Linnaeus/img_000113.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000114,Dataset/Apis mellifera Linnaeus/img_000114.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000115,Dataset/Apis mellifera Linnaeus/img_000115.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000116,Dataset/Apis mellifera Linnaeus/img_000116.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000117,Dataset/Apis mellifera Linnaeus/img_000117.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000118,Dataset/Apis mellifera Linnaeus/img_000118.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000119,Dataset/Apis mellifera Linnaeus/img_000119.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000120,Dataset/Apis mellifera Linnaeus/img_000120.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000121,Dataset/Apis mellifera Linnaeus/img_000121.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000122,Dataset/Apis mellifera Linnaeus/img_000122.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000123,Dataset/Apis mellifera Linnaeus/img_000123.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000124,Dataset/Apis mellifera Linnaeus/img_000124.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000125,Dataset/Apis mellifera Linnaeus/img_000125.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000126,Dataset/Apis mellifera Linnaeus/img_000126.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
img_000127,Dataset/Apis mellifera Linnaeus/img_000127.jpg,honey bee,Hymenoptera,Apidae,mellifera,two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,Angel,
